,brand,img_url,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,ratings_5max,disk_type
116,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQy51MhGW1CVclgmaKjzbCndmyo5As1cxJQ7ewqlX244fnnHeR3VJ1H9DzQVO0&s,XPS 13 9380,13.3,Intel Core i7-8565U,Intel UHD Graphics 620,1024.0,8099.0,4.4,SSD
117,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqmf-brFzAbCBpCPOh98kQb3VwApToZnRu4XoQY-2UU1U-yrHc7LixqBl0Pcg&s,ENVY 13-ah0001nx,13.3,Intel Core i7-8550U,NVIDIA GeForce MX150 (2 GB),512.0,4939.0,4.0,SSD
118,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),13.3,Intel Core i5 Dual Core,Intel Iris Plus Graphics 640,256.0,6499.0,4.6,SSD
119,Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2P_-2c_OKUDY4ltrf__v060DoTUyw-X178_Go-0S7UBhebk8l_HijZcMHdYw&s,IdeaPad 330-15IGM,15.6,Intel Celeron N4000,Intel HD Graphics 600,500.0,1359.0,3.9,HDD
120,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIcd8Dki0nd8GZ_g0xx_u8bjLD7A5M0JnvgqTBpJaPd9gqWQHSWWBMwBEIDZ4&s,ENVY 13-ah0002nx,13.3,Intel Core i7-8550U,NVIDIA GeForce MX150 (2 GB),1024.0,6299.0,0.0,SSD
121,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQMuJI48htHicdWYcSHvDVuLv9QxupWSSRLxYzAMLnhQyMcF8mDUwDEd2IWlw&s,XPS 13 9360,13.3,Intel Core i5-8250U,Intel GMA HD,256.0,4899.0,4.3,SSD
122,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8t0qqfa3RKiCCrPKwFklsmPeGqvzsrQy7aCTagblU8BmAHFk2a_i49PNDbQ&s,Vostro 5471,14.0,Intel Core i5-8250U,AMD Radeon 530 (4 GB),128.0,3599.0,3.8,HDD
123,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmvqJgv158IOmJqumBnogj9nXdjt13r6hOKPRwx79_8EFYjbwO0dAI5MnkveA&s,Inspiron 13 5370,13.3,Intel Core i5-8250U,AMD Radeon 530 (2 GB),256.0,3149.0,0.0,SSD
124,Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxVXui-TuqE5Hg1IUuIFDrOW1IqsaejmklJJy9Ow21tO_EIrHWCrCBkSIc3V0&s,Aspire 3 A315-53,15.6,Intel Core i5-7200U,NVIDIA GeForce MX130 (2 GB),1024.0,2249.0,3.7,HDD
125,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTK5frU32WrNilycuC3zkw0v9lP-I5u1deyyaj6sz4Qy6AOWDTNAy3B8FLAs1c&s,Vostro 5481,14.0,Intel Core i5-8265U,NVIDIA GeForce MX130 (2 GB),128.0,3399.0,0.0,HDD
126,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTK5frU32WrNilycuC3zkw0v9lP-I5u1deyyaj6sz4Qy6AOWDTNAy3B8FLAs1c&s,Vostro 5481,14.0,Intel Core i7-8565U,NVIDIA GeForce MX130 (2 GB),128.0,3899.0,0.0,HDD
127,Microsoft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpjCgf60nh_e6KSH2WCiibScWd_pdOafPwjS6XULJTKZeVpMM5g7psmDeEd08&s,Surface 2,13.5,Intel Core i5-8250U,Intel UHD Graphics 620,128.0,4199.0,4.1,SSD
128,Microsoft,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpjCgf60nh_e6KSH2WCiibScWd_pdOafPwjS6XULJTKZeVpMM5g7psmDeEd08&s,Surface 2,13.5,Intel Core i5-8250U,Intel UHD Graphics 620,256.0,5399.0,0.0,SSD
129,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6eUrJLG-DDaafbmA9MIBX5EGMT9ybi3CU2TZwEGV4zTNXkKyP-m1paSuI-c8&s,Stream 14-cb104nx,14.0,Intel Celeron N4000,Intel UHD Graphics 600,64.0,1099.0,0.0,eMMC
130,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy-0vbG-TRkGUWpqdAICB6DBrn6DYiOgldlChuPcDCtxpuA0j8U5yd7WoErSQ&s,Inspiron 14 5480,14.0,Intel Core i7-8565U,NVIDIA GeForce MX250 (2 GB),128.0,4099.0,0.0,HDD
131,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4,Intel Core i7 6 Core,Radeon Pro 555X GDDR5 (4 GB),256.0,10799.0,0.0,SSD
132,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4,Intel Core i9,Radeon Pro 560X GDDR5 (4 GB),512.0,12499.0,0.0,SSD
133,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3,Intel Core i5 Quad Core,Intel Iris Plus Graphics 655,256.0,7999.0,0.0,SSD
134,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3,Intel Core i5 Quad Core,Intel Iris Plus Graphics 655,512.0,8699.0,0.0,SSD
135,MSI,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReT3p6OGJfGpgwaqq12XU0kj93n-rNAjXP3UJG62dNbdeeptquiIrzeS76CPg&s,GT83VR 7RF Titan SLI,18.4,Intel Core i7-7820HK,NVIDIA GeForce GTX 1080 (8 GB) SLI,256.0,9071.0,0.0,HDD
136,Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx8Prxhzy3iCcZML8vdp5qm7EjqzDrairUbB2kzumplOSFlOZvlAnZ8GsyMZI&s,ROG G752VS,17.3,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1070 (8 GB),256.0,8189.0,0.0,HDD
137,Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzFe3yvIgwiTor8PRhI7s907rntrngpEMDkvTuRJUAsZpERaGreCgHJNjucoU&s,Predator 17 GX791 78ND,17.3,Intel Core i7-6700HQ,NVIDIA GeForce GTX 980M (8 GB),256.0,7507.0,0.0,HDD
138,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),15.4,Intel Core i7 Quad Core,AMD Radeon R9-M370X (2 GB),512.0,6824.0,0.0,SSD
139,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTr9zhKDRVGzSX5xkr6cpIrC6iVKfoBPaNdhBFRqyumO9_ALLSkNzwr6sC0g&s,Alienware 15,15.6,Intel Core i7-7820HK,NVIDIA GeForce GTX 1080 (8 GB),256.0,6688.0,3.7,HDD
140,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6sL5yUVldDu3l2zDKMseuB3srt3mG_5tAHd8GoPhl-Dcl44ROCKY4AvcQvmA&s,XPS 15,15.6,Intel Core i7-7700HQ,NVIDIA GeForce GTX 1050 (4 GB),1024.0,6483.0,0.0,HDD
141,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4,Intel Core i7 Quad Core,Radeon Pro 555 GDDR5 (2 GB),256.0,7679.0,4.6,SSD
142,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMcQ7NXhY-5qIMwmJoglZzFUkvTsQe0-htTy4iFVzNFC0PmIPxbBAZ42FjR6c&s,ENVY 13-ab002nx,13.3,Intel Core i7-7500U,Intel HD Graphics 620,1024.0,4249.0,0.0,SSD
143,Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCJNcyTeJvlu9uOW7g5SONaFw1OMvlXITH1vyE5lkp5oOdcIJ-7knMk3G-KQ&s,ZenBook UX433FN,14.0,Intel Core i7-8565U,NVIDIA GeForce MX150 (2 GB),512.0,3799.0,4.4,SSD
